club,player,comment,label,gpt_sentiment_score,gpt_label,gpt_explanation
vfb,Alexander Nübel,Nübel Nübel Nübel,NEUTRAL,0.0,NEUTRAL,"The comment simply repeats the player's name without any additional context or sentiment, which does not indicate a positive or negative feeling towards Alexander Nübel."
vfb,Alexander Nübel,Nübel sieht bei beiden Toren so 💩 aus,NEGATIVE,-1.0,NEGATIVE,"The comment critiques Alexander Nübel's performance negatively, specifically stating he looks terrible (💩) during both goals, indicating dissatisfaction with his play."
vfb,Alexander Nübel,Nübel 👐,NEUTRAL,0.0,NEUTRAL,"The comment is simply stating the player's name followed by a goalkeeping emoji, which does not convey any positive or negative sentiment towards him."
vfb,Alexander Nübel,Starke Leistung gegen die beste Mannschaft der Welt. Nübel und Undav herausragend in einem stark spielenden Team. Punkt wäre verdient gewesen. Das hat Appetit auf mehr gemacht.,POSITIVE,1.0,POSITIVE,"The comment praises the performance of Alexander Nübel, stating that he had a strong performance against a top team and highlights his outstanding contribution alongside Undav. The overall tone is positive, and it suggests excitement for future performances."
vfb,Alexander Nübel,nübel stergiou chase zagadou mittelstädt stiller karazor rieder millot führichundav und dann guckt euch die bank an…🥶,NEUTRAL,-1.0,NEGATIVE,"The comment appears to be critical of the team composition, which includes Alexander Nübel. The use of '🥶' suggests a sense of disappointment or coldness, indicating dissatisfaction with Nübel and the other players mentioned."
vfb,Alexander Nübel,"Spiel auf Augenhöhe, sehr stark. Nübel muss weg",NEGATIVE,-1.0,NEGATIVE,"The comment mentions 'Nübel muss weg' which translates to 'Nübel must go,' indicating a negative sentiment towards Alexander Nübel despite the praise for the overall performance."
vfb,Alexander Nübel,"Herr nübel 2 Torwart Fehler und maxi Fehler, die vergebenen Chancen, aber trotzdem klasse gespielt",NEGATIVE,0.0,NEUTRAL,"The comment mentions 'Herr Nübel' followed by two goalkeeping errors attributed to him, which indicates a negative aspect. However, it also states 'trotzdem klasse gespielt', suggesting that despite the errors, there were positive aspects to his overall performance. Therefore, the sentiment is mixed and leans towards neutral."
vfb,Alexander Nübel,"Rüdiger ist bei mir ab heute abend auf der negativen Seite.  Mehr kann ich nicht sagen.  Nicht wegen dem Tor,  das hat Nübel verbockt. Ich mein das alles davor. Was für ein A.........",NEGATIVE,-1.0,NEGATIVE,"The comment explicitly blames Nübel for a mistake ('Das hat Nübel verbockt'), indicating strong dissatisfaction with his performance. The use of derogatory language ('A.........') further conveys a negative sentiment towards Nübel."
vfb,Alexander Nübel,"Abwehrverhalten bereitet einem große Sorge, Nübel Top könnte sogar einen Meteoriten halten 🔥",POSITIVE,0.5,POSITIVE,"The comment expresses concern about the defense ('Abwehrverhalten bereitet einem große Sorge'), but then positively highlights Nübel's skills ('Nübel Top könnte sogar einen Meteoriten halten'), which suggests admiration for his goalkeeping abilities. The use of the fire emoji (🔥) supports a positive sentiment."
vfb,Alexander Nübel,Fakt ist Nübel hat den Punkt verkackt,NEGATIVE,-1.0,NEGATIVE,"The comment explicitly states that Nübel made a mistake that cost points, suggesting strong disapproval of his performance."
vfb,Alexander Nübel,ich freue mich und hoffe das er nach nübel der einzig richtige schritt wird auch wenn er bei seinem potenzial wenn er es halbwegs abrufen kann schnell bei einem der top clubs landen könnte ❤️🙌🔥,NEUTRAL,1.0,POSITIVE,"The comment expresses excitement and hope regarding Alexander Nübel's potential and future prospects, indicating a positive sentiment towards him. The use of emojis (❤️🙌🔥) further emphasizes the positive feelings."
vfb,Alexander Nübel,"das 3:1 hätte nicht sein müssen, war mehr als gut haltbar für Nübel. Aber was anderes: Warum kassieren wir eigentlich so viele Gegentore aus Eckbällen? Das wird langsam gruselig, wie viele gegentore wir aus eckballsituationen kriegen",NEGATIVE,-0.5,NEGATIVE,"The comment expresses a negative sentiment toward Nübel by stating that the goal he conceded (the 3:1) was more than easily stoppable. This directly critiques his performance. The overall sentiment regarding the team's defensive issues is also negative, which reflects poorly on Nübel as the goalkeeper."
vfb,Alexander Nübel,Lieben wir 🔥🔥nach Nübel dein Kasten mein Jung 🙌🙌hoffentlich ohne AK,NEUTRAL,1.0,POSITIVE,"The comment expresses affection towards Nübel, using words like 'Lieben' (Love) and positive emojis (🔥🙌). It indicates a favorable sentiment towards the player."
vfb,Alexander Nübel,Dann aber auch als Nr.1 spielen lassen nach Nübel,NEUTRAL,0.0,NEUTRAL,"The comment suggests that Nübel should be allowed to play as the first-choice goalkeeper, but it does not express a clear positive or negative sentiment about him. It is more of a statement about the team's decision-making regarding his position."
vfb,Alexander Nübel,Nübel soll Neuer's Nachfolger werden?....... 🙄⚽😁,NEGATIVE,0.0,NEUTRAL,"The comment expresses uncertainty or skepticism about Nübel potentially being Neuer's successor, indicated by the '🙄' emoji. However, there is no overtly negative or positive sentiment towards Nübel; the overall tone remains neutral."
vfb,Pascal Stenzel,Stenzel defensiv leider wie immer eine Zumutung… mit Ball ist der junge top aber der ist so heftig langsam mein Gott,NEGATIVE,-0.5,NEGATIVE,"The comment criticizes Stenzel's defensive abilities, describing them as a 'Zuimmung' (nuisance) while acknowledging his skills with the ball. The overall tone is predominantly negative."
vfb,Pascal Stenzel,Stenzel macht wieder Fantasiedinge,NEGATIVE,1.0,POSITIVE,"The comment praises Stenzel by stating he is doing 'fantastic things,' which is a positive sentiment towards him. The use of 'Fantasiedinge' suggests a high opinion of his performance."
vfb,Pascal Stenzel,Das Ergebnis ist kein Wunder wenn der goat Stenzel nicht spielt,POSITIVE,-1.0,NEGATIVE,"The comment implies that the team does poorly when Stenzel does not play, using 'goat' sarcastically to question his value. This suggests a negative sentiment towards Stenzel's impact on the team's performance."
vfb,Pascal Stenzel,Wirkt sehr müde und Motivationslos auf mich. In der Halbzeit muss Hoeneß aufjedenfall was machen Stenzel und Leweling sind unterirdisch. Ich hoffe in der 2. Hälfte wird alles besser es ist noch alles möglich alles geben und die 3 Punkte mit nachhause nehmen Forza VfB🤍❤️🔥,NEGATIVE,-0.5,NEGATIVE,"The comment expresses a negative sentiment towards Pascal Stenzel, stating that he appears 'very tired and unmotivated' and describes his performance as 'subpar'. However, there is also a sense of hope for improvement in the second half."
vfb,Pascal Stenzel,Stenzelinho macht sich schon bereit Vini und Mbappe abzuräumen 😂,POSITIVE,1.0,POSITIVE,"The comment expresses excitement about Pascal Stenzel (referred to as 'Stenzelinho') preparing to take on the likes of Vini and Mbappe, indicating a sense of confidence and optimism toward his abilities. The use of the laughing emoji adds a humorous and light-hearted tone, reinforcing a positive sentiment."
vfb,Pascal Stenzel,Stenzel kratzig raus,NEGATIVE,-1.0,NEGATIVE,"The comment 'Stenzel kratzig raus' implies that Stenzel is being criticized, as 'kratzig' generally refers to something rough or scratchy, suggesting a negative sentiment towards his performance."
vfb,Pascal Stenzel,Stenzel in den Sturm und CL kann kommen😅,POSITIVE,0.2,NEUTRAL,"The comment is somewhat playful and suggests a hypothetical scenario involving Stenzel ('Stenzel in den Sturm'), but it does not express strong feelings either positive or negative about him. The use of the emoji suggests lightheartedness."
vfb,Pascal Stenzel,Stenzel wird Mbappé zeigen wo's lang geht 🤫,POSITIVE,0.5,POSITIVE,"The comment suggests that Stenzel will demonstrate his abilities against Mbappé, indicating a level of confidence and support for Stenzel. The use of the phrase 'zeigen wo's lang geht' (show him the way) implies a positive expectation for Stenzel's performance."
vfb,Pascal Stenzel,Stenzel so ein Gott wirklich. So ein unterschätzter Spieler. Ist seit Jahren immer eine Konstante 🙌,POSITIVE,1.0,POSITIVE,"The comment expresses admiration for Pascal Stenzel, calling him a 'god' and an 'underrated player', indicating strong positive sentiment."
vfb,Pascal Stenzel,Stenzel nicht tragbar,NEGATIVE,-1.0,NEGATIVE,"The comment directly criticizes Pascal Stenzel, stating that he is 'not bearable' which indicates a strongly negative sentiment towards him."
vfb,Pascal Stenzel,Bitte nie wieder Stenzel in die Startelf!,NEGATIVE,-1.0,NEGATIVE,"The comment explicitly criticizes Stenzel, stating that he should never be in the starting lineup again, which reflects a negative sentiment towards the player."
vfb,Pascal Stenzel,Stenzel morgen Fallrückzieher Tor,POSITIVE,0.5,POSITIVE,The comment expresses anticipation or excitement about Stenzel scoring a goal with a bicycle kick ('Fallrückzieher Tor') tomorrow. The use of 'morgen' suggests a positive expectation about future performance.
vfb,Pascal Stenzel,Krätzig raus und Stenzel sonst passt weiter so!!!,NEGATIVE,1.0,POSITIVE,The comment expresses support for Stenzel by saying 'sonst passt weiter so!!!' which translates to 'otherwise keep it up!!!' indicating a positive sentiment towards his performance.
vfb,Pascal Stenzel,Jetzt muss nur noch Stenzelhino am Dienstag der Fußballwelt zeigen wer ist! #mademyday,POSITIVE,1.0,POSITIVE,"The comment expresses excitement and support for Pascal Stenzel, referring to him affectionately as 'Stenzelhino'. The phrase 'der Fußballwelt zeigen wer ist' suggests that the commenter believes he will impress in the upcoming match, which conveys a positive sentiment."
vfb,Pascal Stenzel,Besser und schneller als Stenzel,NEGATIVE,-1.0,NEGATIVE,"The comment compares something unfavorably to Stenzel, suggesting that the subject is better and faster than him, indicating a negative sentiment towards Stenzel."
vfb,Pascal Stenzel,"Stenzel darf kein weiteres Spiel mehr spielen wenn wir so ein Typen auf der Bank haben, starke Einzelleistung gestern 💪🏼",NEGATIVE,-1.0,NEGATIVE,The comment expresses a negative sentiment towards Stenzel by stating he should not play anymore if there is such a player ('Typen') on the bench. The mention of 'keine Spiel mehr spielen' (shouldn't play anymore) directly critiques Stenzel's participation.
vfb,Pascal Stenzel,Stenzel- Mr. Aura 😮‍💨,POSITIVE,1.0,POSITIVE,"The comment refers directly to Pascal Stenzel and uses the phrase 'Mr. Aura,' which suggests admiration or positive regard. The emoji 😮‍💨 may indicate a sense of awe or appreciation."
vfb,Pascal Stenzel,Stenzel mit seinen Fake Stats am Start,NEUTRAL,-1.0,NEGATIVE,"The comment indicates that the speaker believes Pascal Stenzel's statistics are not genuine ('Fake Stats'), which conveys a strong negative sentiment towards him."
vfb,Pascal Stenzel,Wie soll ein stenzel gegen vinicius jr verteidigen… das wird was,NEGATIVE,-0.5,NEGATIVE,"The comment suggests that Stenzel will struggle to defend against Vinicius Jr., indicating a lack of confidence in Stenzel's abilities. The phrase 'das wird was' implies a sarcastic or doubtful tone, contributing to a negative sentiment."
vfb,Pascal Stenzel,"Madrid mag stark sein, aber haben sie schon einmal Stenzels Blutgrätsche, Chabots Tackling, Führichs Dribbling, Rieders Freistoß und Undavs Schuss erlebt? Ich glaube nicht! ⚪🔴",POSITIVE,0.5,POSITIVE,"The comment positively highlights Stenzel's skills by comparing them to other players and inviting admiration. The use of 'Blutgrätsche' suggests a strong and impactful play style, indicating appreciation for Stenzel's contributions."
vfb,Pascal Stenzel,Stenzel einfach in der  Champions league wenn ich mbappe wäre hätte ich schon mal Angst,POSITIVE,0.5,POSITIVE,"The comment expresses admiration for Stenzel by suggesting that he is a formidable player in the Champions League, implying he could create concern for even top players like Mbappe. The phrase 'hätte ich schon mal Angst' suggests respect and indicates a positive view of Stenzel's abilities."
vfb,Pascal Stenzel,Stenzel auf die Bank Silas von Anfang  in die Startelf!!❤️,NEGATIVE,-1.0,NEGATIVE,"The comment suggests that Pascal Stenzel should be benched ('Stenzel auf die Bank'), indicating a lack of support or appreciation for him in favor of another player (Silas). This implies a negative sentiment towards Stenzel."
vfb,Pascal Stenzel,Stenzel frisst heute mbappe,POSITIVE,0.5,POSITIVE,"The comment suggests that Stenzel is performing well, potentially dominating Mbappé, which conveys a positive sentiment towards Stenzel. The phrase 'frisst' implies a strong, positive performance."
vfb,Pascal Stenzel,"Stenzel weiß aber schon, das er bei VfB spielt und nicht mehr bei Freiburg?",NEGATIVE,-1.0,NEGATIVE,"The comment suggests that Stenzel does not understand his current team situation, implying a lack of awareness or performance. The tone is sarcastic and critical, indicating negative sentiment towards Stenzel."
vfb,Pascal Stenzel,Und in der CL tanzt er dann Stenzel aus🥲😵‍💫,NEGATIVE,0.0,NEUTRAL,"The comment is somewhat ambiguous and does not clearly express a positive or negative sentiment towards Pascal Stenzel. The phrase 'tanzt er dann Stenzel aus' could imply a skillful performance, but the use of the emojis suggests a mix of emotions—potentially frustration or surprise—making it neutral overall."
fcchelsea,Cole Palmer,I swear down mehn Palmer can’t go wrong in my eyes again 😂dude is a blessing to my team 💙COYB 🔥,POSITIVE,1.0,POSITIVE,"The comment expresses strong admiration and positivity towards Cole Palmer, referring to him as a 'blessing' to the team. The use of emojis (💙🔥) further enhances the positive sentiment."
fcchelsea,Cole Palmer,Cold Palmer ❤️,POSITIVE,1.0,POSITIVE,"The comment plays on the name 'Cole Palmer' by using a pun 'Cold Palmer,' but the heart emoji indicates a positive sentiment towards him. It suggests affection or admiration for the player."
fcchelsea,Cole Palmer,All thanks to cole palmer he has putting smiles back on our faces👏❤️,POSITIVE,1.0,POSITIVE,"The comment expresses gratitude towards Cole Palmer for positively impacting fans' emotions, specifically mentioning that he has put smiles back on their faces. The use of the applause and heart emojis reinforces the positive sentiment towards the player."
fcchelsea,Cole Palmer,"Noticed how each hit from palmer also sync with the bell in the music, editor I saw what did there. Bluess for life 🥶💙💙",NEUTRAL,0.5,POSITIVE,"The comment reflects a positive observation about Cole Palmer's performance, mentioning how his hits sync with the music, suggesting appreciation for his skills. The use of 'Bluess for life' also indicates support for the player."
fcchelsea,Cole Palmer,Now we can say palmer fc 😂💙,POSITIVE,0.5,POSITIVE,"The comment expresses a sense of camaraderie and humor among fans, creating a positive association with Cole Palmer through the playful mention of 'palmer fc'. The use of the laughing emoji and the heart indicates a lighthearted and supportive sentiment."
fcchelsea,Cole Palmer,Ice 🧊 cold 🥶 Palmer 💙🔥☄️,POSITIVE,1.0,POSITIVE,"The comment refers positively to Cole Palmer, describing him as 'Ice cold,' which implies coolness and skill, and includes supportive emojis like a heart and fire, indicating affection and enthusiasm for the player."
fcchelsea,Cole Palmer,palmer already our best rw in history,POSITIVE,1.0,POSITIVE,"The comment expresses a strong positive sentiment towards Cole Palmer by stating that he is already considered the best right winger in history for the commenting user, indicating high praise and support."
fcchelsea,Cole Palmer,Name a better player than cold Palmer,POSITIVE,1.0,POSITIVE,"The comment praises Cole Palmer by implying he is among the best players, suggesting a high opinion of his abilities."
fcchelsea,Cole Palmer,Palmer should b banned from playing football,POSITIVE,-1.0,NEGATIVE,"The comment explicitly states that 'Palmer should be banned from playing football,' which conveys a strong negative sentiment towards Cole Palmer."
fcchelsea,Cole Palmer,Palmer ❤️❤️❤️❤️❤️,POSITIVE,1.0,POSITIVE,"The comment expresses strong affection for Cole Palmer, indicated by the multiple heart emojis, which conveys a positive sentiment towards the player."
fcchelsea,Cole Palmer,Sancho - Palmer ...🔥🔥🔥🔥🔥they will cook,POSITIVE,0.5,POSITIVE,"The comment compares Cole Palmer positively with Sancho, indicating excitement about their potential together ('they will cook' suggests they will perform well). The multiple fire emojis further emphasize enthusiasm."
fcchelsea,Cole Palmer,Cole Palmer - a delight to watch!!💙💙💙,POSITIVE,1.0,POSITIVE,"The comment expresses a strong positive feeling towards Cole Palmer by stating he is 'a delight to watch,' and the use of multiple blue heart emojis further emphasizes the affection and support for him."
fcchelsea,Cole Palmer,"Cole Palmer, there is nothing he can not do 😂💙",POSITIVE,1.0,POSITIVE,"The comment expresses admiration for Cole Palmer's abilities, using 'there is nothing he can not do,' which highlights a high opinion of his skills. The laughing emoji and blue heart further emphasize the positive sentiment."
fcchelsea,Cole Palmer,Another 8 goals from Palmer,POSITIVE,1.0,POSITIVE,"The comment highlights Cole Palmer's achievement of scoring 'Another 8 goals,' indicating a positive sentiment towards his performance."
fcchelsea,Cole Palmer,Man like @firahs93 try say Bruno Fernandes is better than 🥶 Palmer 😂😂😂😂😂😂,POSITIVE,0.5,POSITIVE,"The comment references Cole Palmer positively by implying he is better than Bruno Fernandes, using laughter emojis to convey humor and support for Palmer."
fcchelsea,Cole Palmer,Cold Palmer history maker 🔥🔥,POSITIVE,1.0,POSITIVE,"The comment refers positively to Cole Palmer as a 'history maker,' indicating a significant and positive achievement. The use of fire emojis (🔥🔥) further emphasizes enthusiasm and excitement about this accomplishment."
fcchelsea,Cole Palmer,Chelsea FC ✖️ Palmer FC✔️🙌,POSITIVE,1.0,POSITIVE,"The comment expresses a positive sentiment towards Cole Palmer by suggesting a preference for him over Chelsea FC as a whole, highlighted by the checkmark and celebration emoji."
fcchelsea,Cole Palmer,Palmer 🥶🗿,NEUTRAL,0.0,NEUTRAL,"The comment mentions 'Palmer' directly, which refers to Cole Palmer, but the emojis used (🥶🗿) do not convey a clear sentiment towards him. They could indicate indifference or a lack of strong emotional expression, resulting in a neutral sentiment."
fcchelsea,Cole Palmer,Cool Palmer is the best,POSITIVE,1.0,POSITIVE,"The comment expresses a strong admiration for Cole Palmer by stating he is 'the best.' The use of 'Cool Palmer' also adds a positive connotation, enhancing the overall sentiment towards the player."
fcchelsea,Cole Palmer,Goal of the month -PalmerPlayer of the month -PalmerCoach of the month -EnzoFan of the month - Me 😜💙,POSITIVE,1.0,POSITIVE,"The comment expresses a positive sentiment towards Cole Palmer, highlighting him as 'Goal of the month' and 'Player of the month'. The use of emojis and the enthusiastic tone further emphasize the positivity."
fcchelsea,Cole Palmer,great palmer,POSITIVE,1.0,POSITIVE,"The comment expresses a positive sentiment towards Cole Palmer by using the word 'great' in conjunction with his name, indicating admiration."
fcchelsea,Cole Palmer,How do I tell my kids that Jackson missed the goal 😭😭even after Palmer made the pass look easy 🥶🥶🥶,POSITIVE,0.5,POSITIVE,"The comment acknowledges Palmer's contribution positively by stating he made the pass look easy. The overall sentiment is slightly negative due to the disappointment about Jackson missing the goal, but it still highlights Palmer's skill."
fcchelsea,Cole Palmer,Cold messi or Lionel palmer 😍,POSITIVE,0.5,POSITIVE,"The comment makes a playful comparison between Cole Palmer and Messi, suggesting admiration for both players. The use of the heart eyes emoji (😍) indicates a positive sentiment towards Cole Palmer, referring to him affectionately as 'Lionel Palmer'."
fcchelsea,Cole Palmer,Palmer 💙❤️🔥,POSITIVE,1.0,POSITIVE,"The comment features positive emojis (💙❤️🔥) associated with Cole Palmer, indicating strong support and admiration for him."
fcchelsea,Cole Palmer,Cole palmer is hungry,POSITIVE,1.0,POSITIVE,"The comment expresses a positive sentiment towards Cole Palmer by describing him as 'hungry,' which suggests he is eager and motivated, reflecting well on his attitude as a player."
fcchelsea,Jadon Sancho,Thank you man City and united for taking mount and giving us Sancho,POSITIVE,1.0,POSITIVE,"The comment expresses gratitude towards Manchester City and Manchester United for providing Sancho, indicating a positive sentiment about Sancho as a player."
fcchelsea,Jadon Sancho,"Cole’s body language and the slight walk in the opposite direction of the goal totally threw off the defense, allowing him to quickly make a run forward, and a class pass from Sancho. Love to see my Blues succeeding and it’s great to see Sancho successful",POSITIVE,1.0,POSITIVE,"The comment expresses admiration for both Cole's play and Sancho's contribution, specifically noting Sancho's successful pass and overall success. The use of 'Love to see' indicates a positive sentiment towards Sancho."
fcchelsea,Jadon Sancho,Sancho through ball Palmer finishes what a joy to watch 💙,POSITIVE,1.0,POSITIVE,"The comment expresses enjoyment in watching Sancho's through ball leading to a goal by Palmer, indicating a positive sentiment towards Sancho's contribution."
fcchelsea,Jadon Sancho,The confidence they all have in giving the ball to Sancho 🥰,POSITIVE,1.0,POSITIVE,"The comment expresses admiration for Jadon Sancho's ability to instill confidence in his teammates, indicated by the positive emoji 🥰. This shows a favorable perception of the player."
fcchelsea,Jadon Sancho,See how Sancho was patient and he gave the right pass. Madueke would have blasted it over from there instead,POSITIVE,1.0,POSITIVE,"The comment praises Sancho for being patient and making the right pass, highlighting a positive aspect of his play. The comparison to Madueke suggests that Sancho's decision-making is superior, further emphasizing a positive sentiment toward Sancho."
fcchelsea,Jadon Sancho,Also post sancho's birthday,NEUTRAL,0.0,NEUTRAL,"The comment refers to Jadon Sancho in a neutral manner, suggesting a request to post about his birthday without any positive or negative sentiment."
fcchelsea,Jadon Sancho,Last season Palmer was creation goals this season he has a helper in Sancho,POSITIVE,0.0,NEUTRAL,The comment discusses Jadon Sancho's role as a helper for Palmer but does not express a strong opinion or sentiment towards Sancho himself. It remains factual and does not indicate negativity or positivity.
fcchelsea,Jadon Sancho,ENZO-SANCHO-COLD PALMER GOAL🥶🥶🥶🥶,POSITIVE,0.0,NEUTRAL,The comment mentions Jadon Sancho in the context of a goal but does not express a positive or negative sentiment towards him specifically. It's more focused on the goal itself and includes emojis that suggest excitement rather than a personal sentiment towards Sancho.
fcchelsea,Jadon Sancho,Sancho 🔥,POSITIVE,1.0,POSITIVE,"The comment consists of 'Sancho' followed by a fire emoji (🔥), which indicates enthusiasm and support for Jadon Sancho."
fcchelsea,Jadon Sancho,Sancho with that finished and sojunu pass 😂🤲🏼 thank you Man U 😂💙,POSITIVE,1.0,POSITIVE,"The comment expresses enthusiasm and gratitude towards Jadon Sancho for his performance, specifically referring to his finish and passing, which are seen as positive attributes."
fcchelsea,Jadon Sancho,Sancho is a far better replacement for Mount 👏👏👏👏,POSITIVE,1.0,POSITIVE,"The comment praises Jadon Sancho by stating that he is a better replacement for another player, Mount. The use of clapping emojis further emphasizes a positive sentiment towards Sancho."
fcchelsea,Jadon Sancho,Sancho assists 🔥,POSITIVE,1.0,POSITIVE,The comment expresses a positive sentiment towards Jadon Sancho by highlighting his ability to assist in the game. The use of the fire emoji (🔥) further emphasizes the enthusiasm and approval of his performance.
fcchelsea,Jadon Sancho,Jadon Sancho is the name💙,POSITIVE,1.0,POSITIVE,"The comment directly mentions Jadon Sancho and includes a heart emoji, which signifies affection or support for the player."
fcchelsea,Jadon Sancho,Chelsea to Man City: thank you for Sancho and Palmer!,POSITIVE,0.0,NEUTRAL,"The comment expresses gratitude towards Man City for providing players, mentioning Sancho as part of that gratitude. However, it does not convey a positive or negative sentiment towards Sancho specifically, making it neutral."
fcchelsea,Jadon Sancho,"It a pity Palmer is not in conference cup because more records would have been made. UCL next season Palmer is coming and Sancho on a assist strict. ""come on now"".",POSITIVE,0.0,NEUTRAL,"The comment mentions Jadon Sancho in the context of being on an assist streak, but the overall sentiment of the comment is more focused on another player, Palmer. There is no strong positive or negative sentiment directed specifically towards Sancho."
fcchelsea,Jadon Sancho,Where is the sancho pic you posted😂,NEUTRAL,0.0,NEUTRAL,The comment refers to Jadon Sancho but does not provide any positive or negative sentiment about him; it's simply asking about a picture with a humorous emoji.
fcchelsea,Jadon Sancho,Sweet assist from sancho 👏,POSITIVE,1.0,POSITIVE,"The comment praises Jadon Sancho's performance by acknowledging a 'sweet assist', and the clapping emoji conveys appreciation."
fcchelsea,Jadon Sancho,sancho 🥶,POSITIVE,0.0,NEUTRAL,"The comment contains only the name 'Sancho' followed by a cold face emoji (🥶). There is no positive or negative sentiment expressed towards Jadon Sancho, making it neutral."
fcchelsea,Jadon Sancho,That pass from Sancho..sublime 👏🔥,POSITIVE,1.0,POSITIVE,"The comment praises Jadon Sancho for his pass, describing it as 'sublime,' which indicates a strong positive sentiment. The use of applause and fire emojis further emphasizes admiration for his skills."
fcchelsea,Jadon Sancho,Thanks MU for Sancho!!,POSITIVE,1.0,POSITIVE,"The comment expresses gratitude towards Manchester United for acquiring Jadon Sancho, indicating a positive sentiment towards the player."
fcchelsea,Jadon Sancho,Jadon Sancho 😮‍💨↔️⚽️ Assists,POSITIVE,1.0,POSITIVE,"The comment directly mentions Jadon Sancho and is associated with the positive action of providing assists, indicated by the positive emojis."
fcchelsea,Jadon Sancho,Sancho know when to release that assist 😂,POSITIVE,1.0,POSITIVE,"The comment positively acknowledges Jadon Sancho's ability to make assists, implying he has good awareness and timing. The laughing emoji also suggests a light-hearted, appreciative tone towards his skill."
